# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[   0. -106.   -8.];[-3.64734767e-03 -1.06388886e+02 -7.96822124e+00];[   2.21718457 -109.20733767   -6.00828444];[0.0, 0.0, 0.0]
[   0. -106.  -16.];[-7.39364583e-03 -1.06410277e+02 -1.59378542e+01];[   2.13355303 -109.26252289  -13.16197147];[0.0, 0.0, 0.0]
[   0. -106.  -24.];[-1.07128591e-02 -1.06417009e+02 -2.39100880e+01];[   2.74443581 -109.54343976  -19.43328422];[0.0, 0.0, 0.0]
[   0. -106.  -32.];[-1.30668879e-02 -1.06408178e+02 -3.18873430e+01];[   1.98996531 -109.03865315  -25.52233857];[0.0, 0.0, 0.0]
[   8. -106.  -24.];[   7.95882775 -106.42505509  -23.9215819 ];[  10.02161501 -109.66678377  -19.63119818];[0.0, 0.0, 0.0]
[   8. -106.  -16.];[   7.96526029 -106.4101442   -15.94753126];[  10.23396716 -109.76918688  -13.21262727];[0.0, 0.0, 0.0]
[   8. -106.   -8.];[   7.9670717  -106.40120586   -7.9769994 ];[   9.40185676 -109.17954606   -6.88478398];[0.0, 0.0, 0.0]
[   8. -106.    0.];[ 7.97036089e+00 -1.06394029e+02 -6.66018316e-03];[   9.79472629 -109.48877129    0.24281612];[0.0, 0.0, 0.0]
[   8. -106.    8.];[   7.97420345 -106.40098925    7.96437172];[   9.29898995 -108.97018859    6.77141038];[0.0, 0.0, 0.0]
[   8. -106.   16.];[   7.97879063 -106.42284036   15.93396869];[   8.98043158 -109.08819745   13.6451321 ];[0.0, 0.0, 0.0]
[   8. -106.   24.];[   7.98561187 -106.42579484   23.90701959];[   9.54669897 -109.34416897   20.17596378];[0.0, 0.0, 0.0]
[  16. -106.   24.];[  15.95679438 -106.44364709   23.90865771];[  16.57598955 -109.66455861   20.23438223];[0.0, 0.0, 0.0]
[  16. -106.   16.];[  15.94870317 -106.44396553   15.93693491];[  16.99676043 -109.51732688   13.98995511];[0.0, 0.0, 0.0]
[  16. -106.    8.];[  15.94437194 -106.41543001    7.96744182];[  16.58666173 -109.13211619    6.93515886];[0.0, 0.0, 0.0]
[  16. -106.    0.];[ 1.59386618e+01 -1.06421037e+02 -4.63779286e-03];[  17.06560101 -109.57543534    0.90317115];[0.0, 0.0, 0.0]
[  16. -106.   -8.];[  15.93557961 -106.42907655   -7.97591227];[  17.18308157 -109.52987877   -6.28677099];[0.0, 0.0, 0.0]
[  16. -106.  -16.];[  15.93450101 -106.44469089  -15.94622481];[  17.03316503 -109.66679455  -13.49471599];[0.0, 0.0, 0.0]
[  16. -106.  -24.];[  15.93713528 -106.45558226  -23.91691633];[  17.85603955 -110.23337068  -19.11342934];[0.0, 0.0, 0.0]
[  24. -106.  -16.];[  23.89944635 -106.45303857  -15.96556222];[  23.71004766 -109.95526448  -13.40032448];[0.0, 0.0, 0.0]
[  24. -106.   -8.];[  23.90673224 -106.43793141   -7.98818227];[  23.8364994  -109.85229242   -6.53999337];[0.0, 0.0, 0.0]
[  24. -106.    0.];[ 2.39087242e+01 -1.06433663e+02 -1.42218312e-02];[  23.72536746 -109.59496285    0.47639565];[0.0, 0.0, 0.0]
[  24. -106.    8.];[  23.91366688 -106.43507975    7.96095136];[  23.40365929 -109.72003904    7.66071711];[0.0, 0.0, 0.0]
[  24. -106.   16.];[  23.91802865 -106.4613821    15.93373663];[  22.94186501 -109.54566511   14.48084507];[0.0, 0.0, 0.0]
[  32. -106.    0.];[  31.8017094  -106.47573576    0.12523638];[  29.10676781 -110.20490453    1.48593746];[0.0, 0.0, 0.0]
[  32. -114.  -16.];[  31.89054034 -114.31837572  -15.87796901];[  28.66127637 -117.00592169  -12.14445589];[0.0, 0.0, 0.0]
[  32. -114.   -8.];[  31.89443748 -114.34665272   -7.99330467];[  28.31838156 -116.8186544    -6.17809995];[0.0, 0.0, 0.0]
[  32. -114.    0.];[ 3.18874123e+01 -1.14373771e+02 -1.26961194e-02];[  27.94545384 -116.52868646    1.13271484];[0.0, 0.0, 0.0]
[  32. -114.    8.];[  31.88832654 -114.38212787    7.96727267];[  28.2173146  -116.75871246    7.96710739];[0.0, 0.0, 0.0]
[  32. -114.   16.];[  31.89513424 -114.37697696   15.94653174];[  28.54842556 -116.7573986    14.43569254];[0.0, 0.0, 0.0]
[  24. -114.   24.];[  23.94411784 -114.35303601   23.91896999];[  22.24934352 -116.23158634   20.1879927 ];[0.0, 0.0, 0.0]
[  24. -114.   16.];[  23.92662598 -114.3774995    15.94830593];[  22.83528419 -116.52711783   14.47020991];[0.0, 0.0, 0.0]
[  24. -114.    8.];[  23.92087094 -114.37803918    7.97217417];[  22.82304584 -116.41851312    7.59628599];[0.0, 0.0, 0.0]
[  24. -114.    0.];[ 2.39197483e+01 -1.14366809e+02 -4.71152233e-03];[  23.05030777 -116.50960156    0.56176584];[0.0, 0.0, 0.0]
[  24. -114.   -8.];[  23.92111303 -114.35495095   -7.98330084];[  23.11434144 -116.5094778    -6.92772251];[0.0, 0.0, 0.0]
[  24. -114.  -16.];[  23.92222315 -114.35365898  -15.96105843];[  23.14539436 -116.56814207  -13.26570477];[0.0, 0.0, 0.0]
[  24. -114.  -24.];[  23.92509937 -114.35207073  -23.93635385];[  22.76725322 -116.50678008  -19.8028118 ];[0.0, 0.0, 0.0]
[  16. -114.  -32.];[  15.95582474 -114.36897102  -31.89200043];[  16.29172696 -116.62275863  -25.66857   ];[0.0, 0.0, 0.0]
[  16. -114.  -24.];[  15.94667591 -114.37299885  -23.92972452];[  16.5789222  -116.10358526  -19.71882722];[0.0, 0.0, 0.0]
[  16. -114.  -16.];[  15.94547096 -114.36948264  -15.95785429];[  16.10428646 -115.94698959  -13.9992606 ];[0.0, 0.0, 0.0]
[  16. -114.   -8.];[  15.94572924 -114.36662336   -7.98356553];[  16.84208328 -116.23928242   -6.79827018];[0.0, 0.0, 0.0]
[  16. -114.    0.];[ 1.59472921e+01 -1.14366861e+02 -8.12129371e-03];[  16.65510109 -116.44771198    0.38415465];[0.0, 0.0, 0.0]
[  16. -114.    8.];[  15.94986986 -114.37285736    7.96747506];[  16.29751056 -116.04637049    7.23514356];[0.0, 0.0, 0.0]
[  16. -114.   16.];[  15.95536593 -114.36928287   15.94306874];[  16.49301703 -116.36102682   14.16303068];[0.0, 0.0, 0.0]
[  16. -114.   24.];[  15.96375192 -114.34889641   23.92107487];[  15.93595084 -116.0903501    19.39567207];[0.0, 0.0, 0.0]
[  16. -114.   32.];[  15.97162355 -114.33400828   31.89699758];[  15.7703912  -116.37051361   25.69933991];[0.0, 0.0, 0.0]
[   8. -114.   32.];[   7.99277825 -114.33340918   31.89860033];[   8.77006648 -115.99863204   25.44717802];[0.0, 0.0, 0.0]
[   8. -114.   24.];[   7.98613214 -114.34553655   23.92516347];[   9.00514873 -115.7081299    20.55072696];[0.0, 0.0, 0.0]
[   8. -114.   16.];[   7.98105602 -114.36159282   15.9487073 ];[   9.02256691 -115.7219174    14.18272026];[0.0, 0.0, 0.0]
[   8. -114.    8.];[   7.97692702 -114.36595745    7.97426831];[   9.07347915 -116.00923437    7.39465988];[0.0, 0.0, 0.0]
[   8. -114.    0.];[ 7.97398024e+00 -1.14364225e+02  1.23294884e-04];[   9.22740806 -115.78410551    0.30496959];[0.0, 0.0, 0.0]
[   8. -114.   -8.];[   7.9717384  -114.36637837   -7.97445216];[   9.50568998 -116.12099337   -6.39020897];[0.0, 0.0, 0.0]
