# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[  16. -106.    0.];[ 1.59598478e+01 -1.06290905e+02 -4.96466222e-03];[0 0 0];[14.83 -120.45 0.41]
[  16. -106.   -8.];[  15.95744972 -106.30033337   -7.98569048];[0 0 0];[14.85 -120.56 -7.25]
[  16. -106.  -16.];[  15.95682716 -106.31268496  -15.96598199];[0 0 0];[14.8 -120.54 -14.46]
[  16. -106.  -24.];[  15.95792011 -106.32876072  -23.94605855];[0 0 0];[15.24 -120.36 -21.27]
[  24. -106.  -16.];[  23.93738628 -106.33053012  -15.97164948];[0 0 0];[21.92 -120.35 -14.79]
[  24. -106.   -8.];[  23.9374825  -106.3166943    -7.98999342];[0 0 0];[22.0 -120.51 -7.42]
[  24. -106.    0.];[ 2.39405405e+01 -1.06303435e+02 -7.40163427e-03];[0 0 0];[22.02 -120.42 0.42]
[  24. -106.    8.];[  23.94421717 -106.30194191    7.97628991];[0 0 0];[21.86 -120.06 7.95]
[  24. -106.   16.];[  23.94589168 -106.32876688   15.95796217];[0 0 0];[21.88 -119.59 15.27]
[  32. -106.    0.];[ 3.19253439e+01 -1.06300861e+02 -9.16837770e-03];[0 0 0];[28.33 -120.22 0.29]
[  32. -114.  -16.];[  31.93143891 -114.26871923  -15.98241693];[0 0 0];[27.19 -127.22 -14.75]
[  32. -114.   -8.];[  31.93247778 -114.2602274    -7.99506653];[0 0 0];[27.07 -127.16 -7.34]
[  32. -114.    0.];[ 3.19290245e+01 -1.14275608e+02 -6.42797426e-03];[0 0 0];[26.82 -126.9 0.43]
[  32. -114.    8.];[  31.92854755 -114.28704031    7.98132963];[0 0 0];[27.14 -126.57 7.86]
