# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[   8. -106.   16.];[   7.97273254 -106.2900135    15.9467437 ];[0 0 0];[8.91 -108.05 14.03]
[   8. -106.   24.];[   7.97527732 -106.27472527   23.92993171];[0 0 0];[9.08 -107.52 22.21]
[  16. -106.   24.];[  15.95289125 -106.27616574   23.93189565];[0 0 0];[17.22 -107.12 22.08]
[  16. -106.   16.];[  15.94833706 -106.29111712   15.94857896];[0 0 0];[17.18 -107.41 14.54]
[  16. -106.    8.];[  15.94600782 -106.295536      7.97251429];[0 0 0];[17.14 -107.7 6.46]
[  16. -106.    0.];[ 1.59447661e+01 -1.06299216e+02  3.76049945e-04];[0 0 0];[17.19 -107.89 -1.6]
[  16. -106.   -8.];[  15.94600114 -106.29557505   -7.97188201];[0 0 0];[17.2 -107.99 -10.07]
[  16. -106.  -16.];[  15.94833044 -106.2911598   -15.94805417];[0 0 0];[17.18 -107.82 -18.2]
[  16. -106.  -24.];[  15.95310752 -106.27616391  -23.93166808];[0 0 0];[17.23 -107.53 -25.92]
[  24. -106.  -16.];[  23.92975656 -106.2818074   -15.9528872 ];[0 0 0];[24.77 -106.98 -19.36]
[  24. -106.   -8.];[  23.92739074 -106.28557397   -7.97460562];[0 0 0];[24.89 -107.28 -11.28]
[  24. -106.    0.];[ 2.39257753e+01 -1.06288722e+02 -3.78282390e-04];[0 0 0];[25.05 -107.42 -2.58]
[  24. -106.    8.];[  23.92738154 -106.28560834    7.97396868];[0 0 0];[24.77 -107.36 6.07]
[  24. -106.   16.];[  23.93051778 -106.28173368   15.95188262];[0 0 0];[24.66 -107.04 14.25]
[  32. -106.    0.];[ 3.18997973e+01 -1.06285453e+02  1.78337372e-02];[0 0 0];[30.91 -106.7 -1.78]
[  32. -114.  -16.];[  31.91173755 -114.22710344  -15.94601568];[0 0 0];[31.14 -113.61 -18.39]
[  32. -114.   -8.];[  31.90834461 -114.234945     -7.97844545];[0 0 0];[30.86 -113.85 -11.22]
[  32. -114.    0.];[ 3.19059886e+01 -1.14238474e+02 -3.78639295e-04];[0 0 0];[30.41 -113.98 -2.45]
[  32. -114.    8.];[  31.90834021 -114.23494862    7.97781097];[0 0 0];[30.58 -113.78 6.07]
[  32. -114.   16.];[  31.91244493 -114.23113146   15.95783   ];[0 0 0];[31.14 -113.36 14.12]
[  24. -114.   24.];[  23.93508377 -114.23423926   23.93387443];[0 0 0];[24.33 -113.42 22.33]
[  24. -114.   16.];[  23.93011889 -114.23835848   15.95415736];[0 0 0];[24.4 -113.78 15.03]
[  24. -114.    8.];[  23.92685857 -114.24192135    7.97622966];[0 0 0];[24.7 -114.36 6.8]
[  24. -114.    0.];[ 2.39250138e+01 -1.14245346e+02  3.75350583e-04];[0 0 0];[24.88 -114.69 -2.06]
[  24. -114.   -8.];[  23.92685535 -114.24192598   -7.9756011 ];[0 0 0];[24.87 -114.66 -10.79]
[  24. -114.  -16.];[  23.9301129  -114.23837008  -15.9536403 ];[0 0 0];[24.58 -114.24 -19.02]
[  24. -114.  -24.];[  23.93449905 -114.23416358  -23.93427425];[0 0 0];[24.56 -113.73 -26.53]
[  16. -114.  -32.];[  15.96026549 -114.22205729  -31.91539227];[0 0 0];[16.61 -113.97 -33.76]
[  16. -114.  -24.];[  15.95481898 -114.23370338  -23.93167425];[0 0 0];[16.45 -114.24 -27.08]
[  16. -114.  -16.];[  15.94968248 -114.24783127  -15.94991967];[0 0 0];[16.65 -114.68 -19.2]
[  16. -114.   -8.];[  15.94735132 -114.25127278   -7.97401062];[0 0 0];[17.09 -115.07 -11.21]
[  16. -114.    0.];[ 1.59460492e+01 -1.14254664e+02 -3.72762848e-04];[0 0 0];[17.27 -115.31 -2.69]
[  16. -114.    8.];[  15.94734916 -114.25127873    7.97338764];[0 0 0];[17.24 -115.11 5.85]
[  16. -114.   16.];[  15.94967637 -114.24785533   15.94940578];[0 0 0];[17.08 -114.72 14.17]
[  16. -114.   24.];[  15.95481278 -114.2337291    23.9312563 ];[0 0 0];[17.14 -114.13 21.79]
[  16. -114.   32.];[  15.95977186 -114.22196755   31.91575446];[0 0 0];[17.0 -113.6 29.58]
[   8. -114.   32.];[   7.97954865 -114.22149758   31.91361189];[0 0 0];[9.26 -113.98 29.55]
[   8. -114.   24.];[   7.97683613 -114.23281198   23.92980513];[0 0 0];[9.0 -114.48 22.76]
[   8. -114.   16.];[   7.97420277 -114.24659281   15.94856883];[0 0 0];[9.15 -114.94 14.88]
[   8. -114.    8.];[   7.97142849 -114.26450328    7.97172434];[0 0 0];[9.3 -115.33 6.74]
[   8. -114.    0.];[ 7.97072928e+00 -1.14267982e+02  3.71140812e-04];[0 0 0];[9.31 -115.6 -1.57]
[   8. -114.   -8.];[   7.97142534 -114.26452951   -7.97110272];[0 0 0];[9.29 -115.65 -9.68]
[   8. -114.  -16.];[   7.97419892 -114.24662581  -15.94805705];[0 0 0];[9.2 -115.35 -17.87]
[   8. -114.  -24.];[   7.97683319 -114.2328372   -23.92939189];[0 0 0];[9.28 -114.86 -25.63]
[   8. -114.  -32.];[   7.97939349 -114.22150752  -31.91342962];[0 0 0];[9.02 -114.49 -32.88]
[   0. -114.  -32.];[ 1.56117458e-04 -1.14220929e+02 -3.19129329e+01];[0 0 0];[0.93 -114.92 -32.37]
[   0. -114.  -24.];[ 2.64093649e-08 -1.14231945e+02 -2.39293059e+01];[0 0 0];[0.33 -115.33 -26.59]
[   0. -114.  -16.];[ 2.54381992e-08 -1.14245462e+02 -1.59482370e+01];[0 0 0];[0.29 -115.68 -18.78]
[   0. -114.   -8.];[ 2.81655359e-08 -1.14263152e+02 -7.97155258e+00];[0 0 0];[0.31 -115.97 -10.86]
[   0. -114.    0.];[ 2.25859955e-08 -1.14286498e+02 -3.70775653e-04];[0 0 0];[0.41 -116.09 -2.75]
[   0. -114.    8.];[ 1.29644005e-08 -1.14263198e+02  7.97092990e+00];[0 0 0];[0.41 -115.99 5.52]
[   0. -114.   16.];[ 1.23068192e-08 -1.14245494e+02  1.59477271e+01];[0 0 0];[0.41 -115.66 13.93]
