# extended ;1
# legs ;['blueleg']
# legs model ;['cosserat']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[  16. -106.  -24.];[  15.94185329 -106.49796574  -23.90623117];[0 0 0];[13.51 -127.47 -14.94]
[  24. -106.  -16.];[  23.90623122 -106.4979656   -15.94185329];[0 0 0];[19.36 -127.42 -8.24]
[  24. -106.   -8.];[  23.90539394 -106.50034827   -7.97193136];[0 0 0];[19.64 -127.33 -0.81]
[  24. -106.    0.];[ 2.39051153e+01 -1.06501142e+02  1.89340911e-10];[0 0 0];[19.57 -127.01 6.55]
[  24. -106.    8.];[  23.90539394 -106.50034824    7.97193135];[0 0 0];[19.39 -126.29 13.74]
[  24. -106.   16.];[  23.90623122 -106.4979656    15.94185329];[0 0 0];[19.14 -125.28 20.9]
[  32. -106.    0.];[ 3.18646900e+01 -1.06496773e+02 -2.63665055e-09];[0 0 0];[25.55 -126.68 7.63]
[  32. -114.  -16.];[  31.84738139 -114.41964565  -15.93269995];[0 0 0];[25.23 -131.9 -6.33]
[  32. -114.   -8.];[  31.84755518 -114.42388487   -7.9674552 ];[0 0 0];[25.15 -131.77 0.71]
[  32. -114.    0.];[ 3.18476078e+01 -1.14425276e+02  1.00269655e-08];[0 0 0];[25.04 -131.13 8.02]
[  32. -114.    8.];[  31.84755515 -114.42388496    7.9674552 ];[0 0 0];[24.92 -130.35 15.18]
[  32. -114.   16.];[  31.8473814  -114.41964559   15.93269997];[0 0 0];[24.96 -129.36 21.78]
[  24. -114.   24.];[  23.89431622 -114.41739058   23.89431619];[0 0 0];[18.81 -128.91 28.12]
[  24. -114.   16.];[  23.89402933 -114.42415626   15.93298235];[0 0 0];[18.49 -129.83 22.07]
[  24. -114.    8.];[  23.8938327  -114.42811232    7.96748746];[0 0 0];[18.86 -130.68 14.99]
[  24. -114.    0.];[ 2.38937638e+01 -1.14429417e+02 -4.25341564e-09];[0 0 0];[19.18 -131.46 8.02]
[  24. -114.   -8.];[  23.89383271 -114.42811233   -7.96748744];[0 0 0];[19.38 -131.88 0.82]
[  24. -114.  -16.];[  23.89402932 -114.42415624  -15.93298236];[0 0 0];[19.45 -132.02 -6.79]
[  24. -114.  -24.];[  23.89431622 -114.41739057  -23.89431619];[0 0 0];[19.36 -132.08 -14.14]
[  16. -114.  -32.];[  15.93269993 -114.41964584  -31.84738129];[0 0 0];[13.2 -132.32 -21.23]
[  16. -114.  -24.];[  15.93298233 -114.42415644  -23.89402928];[0 0 0];[13.02 -132.14 -15.0]
[  16. -114.  -16.];[  15.93360156 -114.42405568  -15.93360153];[0 0 0];[13.28 -132.21 -8.07]
